"Date","Daily Count","Running Total"
"6/30",2,2
"7/1",0,2
"7/2",0,2
"7/3",0,2
"7/4",0,2
"7/5",0,2
"7/6",0,2
"7/7",1,3
"7/8",2,5
"7/9",0,5
"7/10",0,5
"7/11",0,5
"7/12",7,12
"7/13",0,12
"7/14",15,28
"7/15",21,49
"7/16",9,58
"7/17",10,68
"7/18",0,68
"7/19",15,83
"7/20",0,83
"7/21",0,83
"7/22",38,121
"7/23",0,121
"7/24",22,143
"7/25",150,293
"7/26",15,308
"7/27",45,353
"7/28",231,584
"7/29",57,641
"7/30",133,774
"7/31",47,821
"8/1",845,1666
"8/2",267,1933
"8/3",236,2169
"8/4",268,2437
"8/5",295,2732
"8/6",645,3377
"8/7",252,3629
"8/8",82,3711
"8/9",104,3815
"8/10",597,4412
"8/11",934,5346
"8/12",733,6079
"8/13",387,6466
"8/14",479,7045
"8/15",1191,8286
"8/16",796,9082
"8/17",368,9450
"8/18",299,9749
"8/19",860,10609
"8/20",350,10959
"8/21",656,11615
"8/22",386,12001
"8/23",150,12151
"8/24",342,12493
"8/25",621,13114
"8/26",330,13444
"8/27",644,14088
"8/28",600,14688
"8/29",690,15378
"8/30",386,15764
"8/31",318,16082
"9/1",185,16267
"9/2",362,16629
"9/3",296,16925
"9/4",344,17269
"9/5",213,17482
"9/6",219,17701
"9/7",64,17765
"9/8",242,18007
"9/9",164,18171
"9/10",85,18256
"9/11",46,18302
"9/12",72,18374
"9/13",59,18433
"9/14",79,18512
"9/15",54,18566
"9/16",39,18605
"9/17",7,18612
"9/18",20,18632
"9/19",0,18632
"9/20",13,18645
"9/21",65,18710
"9/22",0,18710
"9/23",0,18710
"9/24",0,18710
"9/25",7,18717
"9/26",0,18717
"9/27",0,18717
"9/28",0,18717
"9/29",0,18717
"9/30",0,18717
"10/1",0,18717
"10/2",0,18717
